ruc_date,final_gap_pct,sol_count,status,solve_time_s,ruc_cost
2019-08-12,0.9981,2,OPTIMAL,39.83622670173645,5385314367.74
2019-08-13,0.6077,2,OPTIMAL,24.356210947036743,8233809291.41
2019-08-14,0.8869,9,OPTIMAL,195.39072728157043,119693397.72
2019-08-15,0.8417,2,OPTIMAL,35.09372115135193,519359163.95
2019-08-16,0.5756,2,OPTIMAL,47.17553472518921,1161475499.87
2019-08-17,0.8516,10,OPTIMAL,66.91113948822021,475856894.31
2019-08-18,0.9999,2,OPTIMAL,28.16465163230896,2113432372.88
2019-08-19,0.8928,2,OPTIMAL,49.64964699745178,6139447669.81
2019-08-20,0.9515,4,OPTIMAL,49.65358853340149,1907110942.34
2019-08-21,0.3011,6,OPTIMAL,16.70829200744629,1435176488.07
2019-08-22,0.7921,2,OPTIMAL,62.58311319351196,961149244.12
2019-08-23,0.5945,10,OPTIMAL,50.704211711883545,116764680.25
2019-08-24,0.9088,10,OPTIMAL,45.48756265640259,60826595.75
2019-08-25,0.577,2,OPTIMAL,43.16890072822571,1338811515.8
2019-08-26,0.6968,2,OPTIMAL,51.49661302566528,3670753700.65
2019-08-27,0.8761,3,OPTIMAL,109.39240860939026,98241932.35
2019-08-28,0.8754,7,OPTIMAL,264.06539273262024,69589948.63
2019-08-29,0.1997,5,OPTIMAL,19.732266426086426,2089138249.4
2019-08-30,0.7769,2,OPTIMAL,38.4141571521759,141740944.82
2019-08-31,1.2205,10,TIME_LIMIT,250.90356636047363,22594919.29
2019-09-01,0.857,6,OPTIMAL,100.54530358314514,74484998.18
2019-09-02,0.5,10,OPTIMAL,79.78664207458496,102287068.81
2019-09-03,0.5668,2,OPTIMAL,50.489739418029785,236365767.06
2019-09-04,0.6565,2,OPTIMAL,73.59654974937439,1959868774.15
2019-09-05,0.1204,9,OPTIMAL,34.94175887107849,1921220670.63
2019-09-06,0.463,2,OPTIMAL,73.36250567436218,291347992.85
2019-09-07,0.7553,2,OPTIMAL,58.135003089904785,217990240.14
2019-09-08,0.9802,10,OPTIMAL,59.58547019958496,90362739.21
2019-09-09,0.4885,2,OPTIMAL,49.798534870147705,1085400782.95
2019-09-10,0.0625,10,OPTIMAL,31.472270488739014,670450671.48
2019-09-11,0.9998,2,OPTIMAL,289.2106511592865,74392542.39
2019-09-12,0.5557,4,OPTIMAL,205.06970143318176,99526055.64
2019-09-13,0.9982,3,OPTIMAL,88.45471096038818,67525429.8
2019-09-14,0.8951,2,OPTIMAL,72.7627432346344,765192656.72
